"gene","degree","betweenness","closeness","eigenvector","pagerank","rank_degree","rank_betweenness","rank_closeness","rank_eigenvector","rank_pagerank","hub_score","high_confidence"
"GRHPR",3,0.0006191756932321,0.151675485008818,2.78599902414616e-06,0.00247553611705274,198.5,179,331,334,149,238.3,FALSE
"CBX7",2,0,0.246241947029349,0.0206937491238077,0.0011815988025048,247.5,287,182,192,286,238.9,TRUE
"EIF4A1",2,0.000254254525730558,0.204761904761905,0.00179547770975601,0.00167467338678023,247.5,199,266,259,224,239.1,TRUE
"SERPINH1",2,0,0.249275362318841,0.0297183391073121,0.000993251432267256,247.5,287,176,173,313,239.3,TRUE
"SGK1",2,1.69503017153705e-05,0.208232445520581,0.00826454178754163,0.00130808680926617,247.5,224,257.5,210,262,240.2,TRUE
"ID2",2,0,0.232904536222072,0.0138668113851275,0.0012786884608904,247.5,287,208.5,203.5,268,242.9,FALSE
"EDN2",2,0,0.236588720770289,0.0270754660423473,0.0010635207606002,247.5,287,200,178,302,242.9,TRUE
"ID4",2,0,0.232904536222072,0.0138668113851275,0.00127868846088998,247.5,287,208.5,203.5,269,243.1,FALSE
"POSTN",2,0,0.233695652173913,0.0110880021699787,0.00120947755904388,247.5,287,205,207,281,245.5,FALSE
"JMJD6",2,0,0.239221140472879,0.0185651781229329,0.0010887080242977,247.5,287,197.5,199,298,245.8,TRUE
"PANK1",2,0.000181126081187102,0.184351554126474,0.000230606677636073,0.00195869310267402,247.5,207,293,291,198,247.3,FALSE
"TYRO3",2,0,0.228875582168995,0.0243249679807588,0.00108084109168488,247.5,287,220,185,299,247.7,FALSE
"CISH",2,0,0.228875582168995,0.0243249679807588,0.00108084109168421,247.5,287,220,184,300,247.7,TRUE
"XPNPEP2",2,0,0.231338264963013,0.00735800135088984,0.00121160136866144,247.5,287,214,213,278,247.9,FALSE
"YOD1",2,0,0.232432432432432,0.0197852087537883,0.00102018029470001,247.5,287,211.5,195,308,249.8,TRUE
"ALLC",1,0,0.262996941896024,0.0297603128379838,0.000761188136003546,310.5,287,145.5,171,336.5,250.1,FALSE
"MXD1",1,0,0.262996941896024,0.0297603128379838,0.000761188136003546,310.5,287,145.5,172,336.5,250.3,TRUE
"DUSP5",1,0,0.259622641509434,0.0404962067994711,0.000715253346502905,310.5,287,158,154,344,250.7,TRUE
"CLDN14",3,5.65010057179018e-06,0.136291600633914,3.96703114544876e-06,0.00226466392382046,198.5,227.5,336.5,332,170,252.9,FALSE
"CLDN19",3,5.65010057179018e-06,0.136291600633914,4.06756983464892e-06,0.00225325847276086,198.5,227.5,336.5,331,174,253.5,TRUE
"AHCY",3,0,0.176772867420349,3.67963997521261e-05,0.00225671194886584,198.5,287,301,315,173,254.9,FALSE
"HBEGF",1,0,0.253500368459838,0.0299527820556064,0.000724886808853453,310.5,287,170,167,343,255.5,TRUE
"AKR1A1",2,0.000183628268583181,0.165146423427748,2.29858393178799e-05,0.00202885131558062,247.5,206,318,321,187,255.9,FALSE
"SERPINA3",1,0,0.258646616541353,0.0215571342864038,0.000777320500767354,310.5,287,160,189,335,256.3,FALSE
"PIPOX",3,0,0.151876379690949,2.20487267728014e-06,0.00249513701235465,198.5,287,330,336,147,259.7,FALSE
"NGEF",2,0,0.184747583243824,0.000537595348892345,0.00193203664594032,247.5,287,289.5,280,203,261.4,FALSE
"CLDN7",3,0,0.157293095564701,3.24345394126589e-05,0.00220998277098564,198.5,287,325,319,178,261.5,FALSE
"EFNA1",2,0,0.184747583243824,0.000537595348892336,0.0019320366459398,247.5,287,289.5,281,204,261.8,TRUE
"DPF3",1,0,0.246065808297568,0.0187717433683077,0.000744666646825978,310.5,287,184,197,338.5,263.4,FALSE
"ING1",1,0,0.246065808297568,0.0187717433683077,0.000744666646825978,310.5,287,184,198,338.5,263.6,FALSE
"ASPA",2,0,0.178330741316744,0.000179559959670611,0.00202459916368012,247.5,287,298.5,303,188,264.8,FALSE
"ADSSL1",2,0,0.178330741316744,0.000179559959670609,0.00202459916367955,247.5,287,298.5,304,189,265.2,FALSE
"TICAM1",1,0,0.2407277816655,0.0181311264149754,0.00073855188093696,310.5,287,193,200,340.5,266.2,TRUE
"PELI1",1,0,0.2407277816655,0.0181311264149754,0.00073855188093696,310.5,287,193,201,340.5,266.4,FALSE
"JOSD1",1,0,0.232118758434548,0.0106030392941096,0.000737733324603558,310.5,287,213,208,342,272.1,TRUE
"MAP1LC3C",1,0,0.228268082282681,0.00727896803960484,0.000806699948323777,310.5,287,222.5,214,331.5,273.1,TRUE
"C9ORF72",1,0,0.228268082282681,0.00727896803960483,0.000806699948323777,310.5,287,222.5,215,331.5,273.3,FALSE
"HIBADH",2,0,0.163342830009497,2.20888995666912e-05,0.0019867978729991,247.5,287,319,322,192,273.5,FALSE
"GPR183",1,0,0.220230473751601,0.00625758594495416,0.000842011206715861,310.5,287,232,220,328,275.5,TRUE
"CRY2",2,0,0.117086453369639,7.27758424949821e-09,0.00234462888061577,247.5,287,343,344,163,276.9,FALSE
"PBLD",1,0,0.209118541033435,0.00166148290236047,0.00126193987080714,310.5,287,252.5,266,271,277.4,FALSE
"ERF",1,0,0.213531967721912,0.00507511330148982,0.000880849862429033,310.5,287,242,226,324,277.9,TRUE
"TUBAL3",1,0,0.214196762141968,0.00553490658650585,0.000841278717583852,310.5,287,239.5,224,329.5,278.1,FALSE
"OLFM4",1,0,0.218135700697527,0.00361537681380749,0.000927697373197644,310.5,287,234,238,322,278.3,FALSE
"TUBA1C",1,0,0.214196762141968,0.00553490658650585,0.000841278717583852,310.5,287,239.5,225,329.5,278.3,TRUE
"LMNA",1,0,0.203309692671395,0.00178662376115793,0.00122711740169577,310.5,287,268.5,260,274.5,280.1,TRUE
"GJA3",1,0,0.203309692671395,0.00178662376115793,0.00122711740169577,310.5,287,268.5,261,274.5,280.3,FALSE
"PIM2",1,0,0.208611279563372,0.00165633633159736,0.00118714296124986,310.5,287,254,267,285,280.7,TRUE
"MIS12",1,0,0.216216216216216,0.00303673054912428,0.000853309218234947,310.5,287,236,244,327,280.9,FALSE
"NPC1",1,0,0.224250325945241,0.00202029599637124,0.000866579654411292,310.5,287,229,254,325,281.1,TRUE
"CCDC117",1,0,0.208232445520581,0.00667764293355999,0.00079591834131897,310.5,287,257.5,218,333,281.2,FALSE
"TNFRSF10D",1,0,0.210268948655257,0.00297472120642928,0.000854521985480321,310.5,287,250,246,326,283.9,TRUE
"HAO2",2,0,0.144053601340034,8.43993113827009e-07,0.00178697936689816,247.5,287,334,337,216,284.3,FALSE
"DDN",1,0,0.209118541033435,0.00161475997532476,0.00102817784317799,310.5,287,252.5,268,305,284.6,FALSE
"TSC22D1",1,0,0.207104154124022,0.00298526355352987,0.000939050284603266,310.5,287,261,245,320,284.7,FALSE
"MSX1",1,0,0.207104154124022,0.0017486962077308,0.00105767637907454,310.5,287,261,263,303.5,285,FALSE
"IHH",1,0,0.207104154124022,0.0017486962077308,0.00105767637907454,310.5,287,261,264,303.5,285.2,TRUE
"TDG",1,0,0.206855081178593,0.00402713811349371,0.000794389536595515,310.5,287,263,233,334,285.5,FALSE
"FMO4",1,0,0.21273964131107,0.00149921292367368,0.000940276192258171,310.5,287,243.5,270,319,286,FALSE
"CLDN15",2,0,0.136237623762376,3.84746093961053e-06,0.00161160369434414,247.5,287,338,333,226,286.3,FALSE
"PCYOX1",1,0,0.20810647307925,0.0013998975229808,0.000999352832658868,310.5,287,259,271,311,287.7,FALSE
"YWHAH",1,0,0.203550295857988,0.00175833638442415,0.000983315117714882,310.5,287,267,262,315,288.3,FALSE
"FCGBP",1,0,0.191217342968316,0.00119314056255975,0.00116520141924946,310.5,287,282,272,291,288.5,TRUE
"STC2",1,0,0.187363834422658,0.000225104729145284,0.00128505036180027,310.5,287,285,295,266,288.7,FALSE
"CLIC5",1,0,0.19556566230813,0.00270250112741913,0.000954489031033845,310.5,287,279.5,250,316.5,288.7,FALSE
"DDX5",1,0,0.197587593337163,0.00114348982478154,0.00113758373818737,310.5,287,276.5,276,293.5,288.7,TRUE
"NXT1",1,0,0.197587593337163,0.00114348982478154,0.00113758373818737,310.5,287,276.5,277,293.5,288.9,FALSE
"ESPN",1,0,0.19556566230813,0.00270250112741912,0.000954489031033845,310.5,287,279.5,251,316.5,288.9,FALSE
"ANXA1",1,0,0.206358728254349,0.00161070739071583,0.000947043980825949,310.5,287,264,269,318,289.7,FALSE
"S100A9",1,0,0.179353493222106,0.000201216969785381,0.00129793188619315,310.5,287,297,299,264,291.5,FALSE
"CDC20B",1,0,0.174177215189873,0.000225915259131775,0.00136672023232799,310.5,287,308.5,293,259.5,291.7,FALSE
"PLK3",1,0,0.174177215189873,0.000225915259131775,0.00136672023232799,310.5,287,308.5,294,259.5,291.9,TRUE
"GLYATL1",1,0,0.173212487411883,9.24712892128981e-05,0.00152032415466109,310.5,287,310,311,242,292.1,FALSE
"KBTBD7",1,0,0.176319835981548,0.000202352964399071,0.0012850465565769,310.5,287,302,297,267,292.7,FALSE
"CALCA",1,0,0.197928653624856,0.00114357110728757,0.000929047443800713,310.5,287,273,275,321,293.3,FALSE
