gene,rank,weighted_lfc,direction_consistency
UBC,582,0.947199739017389,1
GPC5,584,-0.578646114536356,1
DDX5,587,0.481925475288098,1
MCL1,588,1.19724521774469,1
EFNA1,595,0.590296418093978,1
HSPA6,596,4.2096013709342,1
SLC47A2,599,1.57675429691001,1
MAP1LC3B,610,0.624761478181918,1
FOSL2,627,0.648592943393435,1
UNC5CL,631,1.21674521716035,1
ERF,640,0.486223211194088,1
VCAM1,641,0.566741297448016,1
CISH,643,0.591134255190427,1
ARL14,644,2.58122530424002,1
FAM53C,645,0.870593285594858,1
ODC1,647,0.494097512818147,1
TNFRSF10B,653,0.640739183695852,1
ADH1B,657,-0.487053916725925,1
PIM2,672,0.447557586874932,1
BAMBI,683,0.406272865624965,1
PDE4A,699,-0.398916260872359,1
CNTN1,703,-0.421889539541472,1
DCN,714,-0.419145579829887,1
EIF2AK3,721,0.443567322998513,1
RASSF1,722,0.527935774944509,1
WSB1,723,0.542502896590294,1
SLC28A1,727,0.432963460993744,1
HMGCR,728,0.552241292213008,1
CCR2,735,-0.760131454839066,1
EIF1,742,0.464480301133636,1
IL17RB,759,0.536948547567026,1
HSD17B7,762,0.61598274386706,1
IQUB,768,0.470983898856501,1
NOSTRIN,770,0.405912675507455,1
TAC1,776,0.720918615377195,1
IHH,780,0.695645742590046,1
NAPSA,792,0.962216498062396,1
COX19,796,0.424506176980024,1
IFFO2,809,0.475158957710999,1
HSP90B1,814,0.506930241460535,1
PAMR1,819,-0.6679744156375,1
SQSTM1,824,0.620499113968651,1
ZFAND5,826,0.698751687918285,1
JOSD1,835,0.503662383040019,1
GPR183,843,1.09761169484301,1
CDH6,854,1.10289519422633,1
SLC2A9,857,1.00235103423702,1
HABP2,859,0.898585245661245,1
MAK,872,0.564865872141311,1
LYG1,877,0.689190249235379,1
FZD7,887,-0.601899018946029,1
TKT,898,1.04704275145475,1
CRIM1,903,-0.3868568942074,1
FEM1C,938,0.401280555404154,1
SOSTDC1,941,-0.677825747163748,1
PCDH15,944,2.44096958051967,1
TFF3,949,-0.533836467002124,1
KRT18,967,0.646195269621288,1
ANGPTL4,968,0.384228152883168,1
FBXL16,971,-0.587032992545796,1
RLF,980,0.454826017165084,1
DNAJB9,985,0.400997311231867,1
SLC1A7,990,0.990357745572687,1
GBP1,996,0.627724821199822,1
MSN,1010,0.405611413397993,1
GADD45A,1034,0.522927624433491,1
PLIN2,1036,0.83061040907496,1
HAVCR2,1037,1.18841946142047,1
SFN,1058,0.63598856656934,1
SERTAD4,1090,-0.44910033969732,1
CMTM7,1104,0.476411367475618,1
HOXB8,1111,-0.510655810120225,1
ASTN2,1122,0.447335511711884,1
