gene,rank,weighted_lfc,direction_consistency
C1orf52,303,0.183429611499049,0.666666666666667
DDX21,304,0.306674460180867,1
GLA,305,1.18860971566149,0.666666666666667
GCSH,306,-0.134685911049916,0.666666666666667
DNAJB4,307,1.84459599710278,0.666666666666667
SPPL2A,308,0.325459728844445,0.666666666666667
PELI1,309,0.692115061040946,0.666666666666667
TSHZ1,310,-0.19909468394975,0.666666666666667
SIK1,311,0.866407830234699,0.666666666666667
ABCC6P1,312,1.26454171572619,0.666666666666667
H3F3A,313,-0.258057751543546,1
ETS2,314,0.633777535262304,1
LCP1,315,0.247446906538115,0.666666666666667
CDC37L1,316,0.305074890148823,1
ZNF433,317,0.274621055219654,0.666666666666667
ZCCHC8,318,0.372650001543052,0.666666666666667
ANTXR2,319,-0.342378937953983,1
TGIF1,320,1.0611303505222,0.666666666666667
LANCL1,321,-0.252034679925132,1
NTN4,322,-0.486507337966401,1
RALGDS,323,0.360456602627842,0.666666666666667
LYRM1,324,-0.0221080798831913,0.666666666666667
EIF4A3,325,0.40686380937056,0.666666666666667
ING3,326,0.279020778816217,0.666666666666667
SETD4,327,0.269999108491271,0.666666666666667
KLF11,328,0.276913563677524,0.666666666666667
PNPLA1,329,0.718501693986519,0.666666666666667
LRP5L,330,0.895255213240724,0.666666666666667
CLK1,331,1.20603879538553,1
IP6K3,332,0.620619622921974,0.666666666666667
AFTPH,333,-0.297878307934593,0.666666666666667
PPP1R15A,334,2.97368198192668,1
PCNA,335,-0.25109825623337,1
JMJD6,336,0.837289410743384,1
RFFL,337,0.32909119964355,1
KRIT1,338,-0.132715237271471,0.666666666666667
GPD1,339,1.81331488664202,0.666666666666667
NFKBIA,340,1.12992330833283,0.666666666666667
MTHFD1,341,-0.140810150657798,0.666666666666667
JUN,342,3.91166488382977,1
ARC,343,2.31694529362648,0.666666666666667
EDN2,344,1.12889508306865,1
SDC2,345,-0.254803815849717,1
LETM2,346,1.24873822496969,0.666666666666667
PDXK,347,-0.66492522819156,1
SLCO2A1,348,0.784515833030081,0.666666666666667
SLC2A1,349,0.355556352608994,0.666666666666667
ZNF14,350,0.381364974317204,0.666666666666667
SLC25A25,351,2.37054371848365,1
HAS2,352,1.48235600605568,0.666666666666667
IRF2BP2,353,0.0412516888928745,0.666666666666667
TRIL,354,-0.371015426157666,1
DHCR24,355,0.266136683749251,0.666666666666667
SSPN,356,-0.429459276104328,1
BCL10,357,0.459828651658894,0.666666666666667
ESM1,358,1.13343022760353,1
ARID5B,359,0.544883187160776,1
ACSS2,360,0.240576330509335,1
FMO4,361,-0.403466021845309,0.666666666666667
CYP3A7,362,-0.223953124377546,0.666666666666667
PREPL,363,-0.272386047326728,1
ZNF77,364,0.366303439312286,0.666666666666667
MRRF,365,0.198912377568316,1
GJB1,366,-0.175112203927879,0.666666666666667
SLC10A2,367,2.43000743153964,0.666666666666667
MAFF,368,2.35930136022269,1
GIMAP7,369,-0.680153417325087,0.666666666666667
TMEM174,370,0.0820914950348637,0.666666666666667
DUSP2,371,2.27222328946252,0.666666666666667
SORD,372,0.437522214873772,0.666666666666667
ABLIM3,373,0.695140228675111,1
BCKDHB,374,-0.257834000729652,0.666666666666667
TP53BP2,375,0.211340035734602,1
HELB,376,0.531518939570322,1
SORCS1,377,1.98447447487361,0.666666666666667
TSPYL2,378,0.589794411151027,0.666666666666667
FAM83B,379,0.0629678733364699,0.666666666666667
IFT57,380,-0.149741261308866,0.666666666666667
ZNF443,381,0.199400606494538,0.666666666666667
SLC5A11,382,0.0715367441560379,0.666666666666667
TICAM1,383,0.713593779729067,1
CDC42EP4,384,0.446241852471041,0.666666666666667
TUFT1,385,0.682787434284424,1
ST6GALNAC3,386,-0.211004302826157,0.666666666666667
PRMT6,387,-0.245090766158159,1
NOLC1,388,0.263036187394188,1
AZIN1,389,0.243075055683475,0.666666666666667
CRY2,390,0.46131607052027,0.666666666666667
BNIP1,391,0.260121513736636,1
C2orf49,392,0.0987639240332563,0.666666666666667
PPP4R1L,393,0.497036652471783,0.666666666666667
PLAGL2,394,0.582760804826175,1
NPC1,395,0.724082110965658,1
TSPAN1,396,0.418639672496794,1
KLHL36,397,-0.0184224289154214,0.666666666666667
CDKN2AIP,398,0.504463359546478,0.666666666666667
TPRG1L,399,-0.500685118381356,0.666666666666667
ING1,400,0.437458529703789,0.666666666666667
ARSE,401,0.0282578034222611,0.666666666666667
ALAD,402,-0.691740232393798,0.666666666666667
PAX8,403,0.596975120155299,0.666666666666667
NUFIP2,404,0.314315085932145,1
STAT5B,405,-0.239819044213132,0.666666666666667
RASSF6,406,0.341274097704361,1
UBE2D3,407,0.189701323200484,1
WTAP,408,0.472867594601256,0.666666666666667
MLF1,409,0.62843741135862,1
BATF3,410,0.436202137704417,1
SLC2A12,411,-0.300803701136974,0.666666666666667
TRIB1,412,1.61865891251134,1
NPR3,413,0.171597102734922,0.666666666666667
ZMAT3,414,0.183827045351026,0.666666666666667
SLC23A2,415,-0.268542908007485,1
MYLIP,416,0.498008801806233,1
ZNF670,417,0.452368087327589,0.666666666666667
THBS1,418,0.542161042953624,1
TRAF3IP2,419,0.314591027628159,0.666666666666667
NPY5R,420,-0.363773478094165,1
CHFR,421,0.220217265367738,0.666666666666667
PLK2,422,1.01270983338147,0.666666666666667
IFRD1,423,1.19934641965508,1
GALC,424,-0.30832017901007,1
BCL3,425,1.16937729225937,0.666666666666667
ULK4,426,0.335242110408084,0.666666666666667
GADD45B,427,2.26284641559614,0.666666666666667
PPP2R1B,428,0.204200579190892,1
LINS1,429,0.259759127967378,1
PLK3,430,1.91625195743575,1
C1orf115,431,-0.424285651976672,0.666666666666667
ANKRD46,432,-0.38573620129627,0.666666666666667
FCER1G,433,0.332419432885429,0.666666666666667
TMEM203,434,-0.30405464440877,1
C2orf68,435,-0.195635793352963,1
VPS37B,436,0.834430498852481,1
PGM3,437,0.24517483413629,1
ZBTB43,438,0.377176261681783,1
CNDP1,439,0.0966036871991473,0.666666666666667
UBQLN1,440,0.264812637309666,0.666666666666667
