gene_symbol,log2FoldChange,pvalue,t_statistic,mean_case,mean_ctrl,padj,comparison,dataset,ischemia_also
C5orf28,0.5429113627306705,0.00012091074986419798,4.20216674948342,11.322992507645061,10.78008114491439,0.0013661972910387365,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C5orf4,-0.4654052573491825,4.786244519708205e-15,-10.312195964076437,7.452690115464031,7.918095372813213,5.32653302144352e-13,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C6,0.673427133014914,1.2914633423602455e-17,10.405649317331982,7.822434628920122,7.149007495905208,2.138897182010569e-15,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C6orf108,-0.4999017566392485,8.895471423811702e-05,-4.319648847424481,9.842819209269752,10.342720965909,0.0010529144524071099,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C6orf115,0.45083098529177335,4.012961386755619e-06,5.079403007103538,9.275979287438744,8.825148302146971,7.134963933078979e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C7orf10,-0.6587806154137095,1.3846143641190427e-06,-5.565830469357004,8.004391498831572,8.663172114245281,2.841296217336379e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C7orf40,0.4330497071018007,8.249167773889363e-15,9.737455803350842,8.060618627337876,7.627568920236075,8.85249338633173e-13,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C7orf41,-0.4399739651815313,4.80459382721991e-05,-4.404817430594137,10.273564133895132,10.713538099076663,0.0006213183170293881,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C7orf68,0.6191709102271314,5.107755761655676e-22,11.755680739927275,7.736529607920653,7.117358697693522,1.627787588072495e-19,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C8orf37,0.4923283916590684,0.00017981270701750631,4.082186577299108,12.394954687481949,11.90262629582288,0.0019222823751220935,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C8orf4,1.4022251754006678,1.889630279826154e-08,6.735263545546302,10.3561468210011,8.953921645600433,6.420927058275188e-07,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C8orf40,-0.6082419977849529,7.882078244061958e-15,-10.370996818205647,9.184190610226953,9.792432608011906,8.501932961357805e-13,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C8orf45,0.4606844711025566,0.005579176545018895,2.9121516655856245,12.243010264277158,11.782325793174602,0.03332848902574693,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C8orf55,-0.5095738227753959,8.743004846262555e-13,-9.003342459178251,8.895177227699845,9.404751050475241,6.861790762457591e-11,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
