gene_symbol,log2FoldChange
ANGPTL6,0.00989418140248155
ANGPTL7,0.02013605828369336
ANK1,-0.018107346689633985
ANK2,-0.4636054163113936
ANK3,-0.09963842131284473
ANKAR,-0.05705009003474526
ANKDD1A,0.0877149403756885
ANKFY1,-0.08154764567484296
ANKH,0.004127404124296241
ANKHD1,0.045298662823880065
ANKHD1-EIF4EBP3,0.06641021605830577
ANKIB1,-0.40498299833070206
ANKLE1,-0.027507656746953657
ANKLE2,-0.058749903312226515
ANKMY1,-0.007607610450713231
ANKMY2,-0.10914456017623664
ANKRA2,-0.15587765316718372
ANKRD1,0.0374439214612412
ANKRD10,0.02956555128552374
ANKRD11,-0.10234369483669514
ANKRD12,-0.08181220940670553
ANKRD13A,0.1973746569580257
ANKRD13B,0.006086005617706114
ANKRD13C,0.01797371530490377
ANKRD13D,0.044077133397471435
ANKRD16,-0.05082523174282372
ANKRD17,0.040336844694707885
ANKRD18A,-0.007166391189380228
ANKRD18B,0.0058020849960627174
ANKRD2,-0.10778527352057132
ANKRD20A1,0.06436304820588212
ANKRD20A2,-0.017340808047968892
ANKRD20A3,0.02848476374574993
ANKRD20A4,-0.0010909611095604177
ANKRD20B,-0.05397124633535899
ANKRD21,-0.05376044766729304
ANKRD22,0.04252677818151085
ANKRD23,-0.0026693273205173895
ANKRD24,-0.08147431358861912
ANKRD26,0.05875421012506443
ANKRD27,-0.009835868561226313
ANKRD28,-0.009473581379347173
ANKRD29,0.08733389739739739
ANKRD30A,-0.004860143632085645
ANKRD30B,0.4661364187638757
ANKRD31,-0.014161276444109028
ANKRD32,-0.0879089513436151
ANKRD33,0.49327677565248607
ANKRD34A,-0.03763517260786031
ANKRD34B,0.007239150948515238
ANKRD34C,-0.042803424017824554
ANKRD35,-0.025351356102650158
ANKRD36,0.08795823655597879
ANKRD36B,0.10021188519015123
ANKRD37,1.6966912892181005
ANKRD38,-0.30185055739713107
ANKRD39,-0.05706512515435236
ANKRD40,0.03481744454122371
ANKRD41,-0.003670091058003422
ANKRD43,-0.38371574767875316
ANKRD44,0.17605731909784517
ANKRD45,0.024303796306123004
ANKRD46,-0.42242173890997137
ANKRD47,-0.06550394127233528
ANKRD49,-0.03958457408309446
ANKRD5,0.01643159556511531
ANKRD50,0.031447833050471274
ANKRD52,0.07359393825131466
ANKRD53,0.03535402271264587
ANKRD54,-0.018570842585910796
ANKRD56,0.01244121814872301
ANKRD57,-0.19577374071310594
ANKRD58,0.007386848438776461
ANKRD6,0.0031777172941085396
ANKRD7,-0.020340648363898595
ANKRD9,-0.19579453533829927
ANKS1A,-0.13015176514566562
ANKS1B,-0.2835694570285332
ANKS3,-0.02799996657160353
ANKS4B,-0.2416830045273688
ANKS6,0.007584303394002845
ANKZF1,-0.04849832086789174
ANLN,0.00733017298536609
ANO1,-0.08564680018717219
ANO10,-0.05065604257129053
ANO2,0.028253244815624967
ANO3,-0.025095439972104394
ANO5,-0.02865616100989765
ANO6,-0.07795070170884522
ANO7,-0.01932584535957549
ANO8,0.04978785292859822
ANO9,0.036458022955999425
ANP32A,0.06546452313947793
ANP32B,-0.17374354265827385
ANP32C,0.04461969088678863
ANP32D,-0.011447223160641506
ANP32E,-0.021981716791061423
ANPEP,0.3001145049304288
ANRIL,-0.004731887393046641
ANTXR1,-0.19206589124457274
ANTXR2,-0.36829348435078746
ANTXRL,0.02065882537880359
ANXA1,1.245094913864234
ANXA10,0.026930520647249878
ANXA11,0.19882225308780566
ANXA13,-0.2281609406114251
ANXA2,0.3498967357861318
ANXA2P1,0.41571650904836943
ANXA2P2,0.02514275900907137
ANXA2P3,-0.00698204768546784
ANXA3,0.008515798336929947
ANXA4,-0.08780048491001757
ANXA5,0.31123215956393757
ANXA6,0.04556318515921731
ANXA7,0.057935992295485406
ANXA8,-0.04482213441842742
ANXA9,-0.2389429825439775
AOAH,0.0312855522280131
AOC2,-0.01082464888795176
AOC3,-0.1470749942092846
AOF2,-0.07240472248255969
AOX1,0.15868361929484642
AOX2P,0.009622485604314335
AP1B1,0.08140352842436194
AP1G1,0.09520313717095608
AP1G2,0.1631998920824227
AP1GBP1,-0.008024000132362374
AP1M1,-0.19390987876945154
AP1M2,-0.0508685484761342
AP1S1,-0.1640819135680056
AP1S2,-0.017223018301932846
AP1S3,0.047414905796772544
AP2A1,-0.05653502051296666
AP2A2,-0.0957242009923549
AP2B1,-0.03827490048593685
AP2M1,-0.025853742148502334
AP2S1,0.07859839514087064
AP3B1,0.014042714224101971
AP3B2,-0.02486895342810591
AP3D1,0.14229418000020644
AP3M1,-0.06592538045186291
AP3M2,-0.14020474181956022
AP3S1,0.013193325705801229
AP3S2,-0.041081832683079966
AP4B1,0.26406847331561245
AP4E1,0.039838371058915634
AP4M1,0.015918959181739467
AP4S1,0.01991810359480084
APAF1,0.013883516965124798
APBA1,0.024437094295618245
APBA2BP,0.024521351347348563
APBA3,-0.017759673818864563
APBB1,-0.009182695514988737
APBB1IP,-0.02787487159489732
APBB2,0.023190907173376907
APBB3,0.09121221954562131
APC,-0.009614597600606345
APCDD1,-0.11833065987404812
APCDD1L,-0.23024948843770066
APCS,0.08807351303275635
APEG1,-0.004100172621019027
APEH,-0.22646744782115213
APEX1,-0.19698506873710286
APEX2,0.1847593601855415
APH1A,-0.09354533832126499
APH1B,0.06667274628892361
API5,-0.15740949206985455
APIP,-0.042193023093649806
APITD1,-0.6041898305783162
APLF,-0.01642785881667841
APLN,-0.06023072902426563
APLNR,-0.2465859238633259
APLP1,0.010044455312348433
APLP2,-0.1639293628115599
APM-1,-0.020382979178218186
APOA1,-0.09682143051865655
APOA1BP,0.0011929989925700824
APOA2,-0.039881632102203746
APOA4,-0.019088668004576093
APOA5,0.006144466336590604
APOB,-0.022042752690571987
APOBEC1,0.013787190957788908
APOBEC2,0.06701241316388629
APOBEC3A,-0.003977291275991668
APOBEC3B,0.011786019138849468
APOBEC3C,-0.013061093470044582
APOBEC3D,0.012206349694314333
APOBEC3F,-0.05492073067263892
APOBEC3G,-0.05977042270627919
APOBEC4,0.008882586515044366
APOC1,0.004573069905503324
APOC2,-0.0650838574475765
APOC3,-0.3666783774585456
APOC4,0.00038050280757495614
APOD,-0.007714552322252821
APOE,0.15899323516152286
APOH,-0.6804128516999093
APOL1,0.038275592981767304
APOL2,0.12226558634176321
APOL3,0.0010482669134521672
APOL4,0.06024034180239113
APOL6,0.05845879626048145
APOLD1,1.2319115960991658
APOM,-1.048763268244489
APOO,0.03597414107001207
APOOL,0.06742146705419394
APP,0.11938175547778318
APPBP2,-0.14427877633304753
APPL1,0.045213374437050646
APPL2,-0.14630953017545778
APRIN,-0.02383859875860228
APRT,-0.11639245704354462
APTX,0.03595687235278611
AQP1,-0.6522606770322685
AQP10,-0.02660553168917179
AQP11,-0.4781831629593807
AQP12A,0.20089963089100582
AQP12B,-0.08154152129257941
AQP2,-0.2559349919716887
AQP3,0.09712117881903648
AQP4,-0.09443837931305765
